iter	RMSE
0	72392.75252
1	69468.99593
2	66734.7533
3	64919.6132
4	62731.27815
5	61593.00032
6	59441.0701
7	57999.98946
8	56986.72651
9	55218.31519
10	53927.46301
11	52398.42408
12	50984.5283
13	49537.31901
14	47943.58163
15	46640.21794
16	45320.02594
17	44152.42289
18	42938.6709
19	41881.77815
20	40911.55746
21	39951.99222
22	39143.14287
23	38192.74504
24	37627.87401
25	36916.91758
26	36202.97798
27	35654.04202
28	35080.86939
29	34697.41757
30	34191.9171
31	33769.30699
32	33250.93581
33	32777.42541
34	32439.71908
35	32056.04381
36	31681.25775
37	31477.5577
38	31302.86653
39	30920.68494
40	30644.16825
41	30179.83959
42	29956.89289
43	29706.35986
44	29465.28528
45	29196.86734
46	28946.59508
47	28729.93147
48	28528.24248
49	28417.70208
50	28305.84329
51	28163.42231
52	27958.85325
53	27851.40214
54	27624.65768
55	27389.7501
56	27313.64626
57	27122.30442
58	26978.59838
59	26816.12166
60	26690.31604
61	26553.54691
62	26412.65683
63	26294.55332
64	26196.32378
65	26024.0308
66	25926.95926
67	25789.99874
68	25667.12846
69	25492.91542
70	25411.36893
71	25292.16929
72	25158.20154
73	25054.37866
74	25006.33931
75	24941.50309
76	24866.79633
77	24756.23976
78	24672.08715
79	24519.66564
80	24379.02496
81	24214.69612
82	24131.69272
83	24022.95291
84	23929.90825
85	23822.46023
86	23775.29973
87	23708.52704
88	23596.52987
89	23482.34339
90	23417.35951
91	23327.55056
92	23254.92111
93	23143.37846
94	23081.75581
95	23010.13968
96	22971.15
97	22944.69815
98	22875.69303
99	22800.46258
100	22703.85933
101	22589.20622
102	22517.91081
103	22437.86299
104	22320.1952
105	22226.54429
106	22134.50767
107	21989.29128
108	21881.89282
109	21840.1934
110	21814.3058
111	21765.35153
112	21707.72974
113	21619.25134
114	21608.6399
115	21596.40161
116	21542.04889
117	21462.3651
118	21373.03511
119	21296.92787
120	21281.87394
121	21206.9632
122	21087.60604
123	21014.31234
124	20949.15601
125	20872.17294
126	20774.2509
127	20742.98454
128	20725.4549
129	20633.33173
130	20581.61994
131	20550.9208
132	20542.12113
133	20523.40401
134	20444.84975
135	20432.28755
136	20323.94503
137	20228.4918
138	20186.95726
139	20173.06338
140	20159.85535
141	20151.01551
142	20125.93893
143	20105.4936
144	20095.30255
145	20075.70413
146	20063.92373
147	20036.31912
148	19966.29587
149	19930.56946
150	19919.98388
151	19886.09442
152	19748.16259
153	19735.38395
154	19620.48897
155	19502.72498
156	19488.85761
157	19461.14705
158	19389.05938
159	19362.45672
160	19332.78388
161	19304.5129
162	19280.05814
163	19271.86331
164	19263.65902
165	19207.7686
166	19137.33547
167	19114.75741
168	19093.12886
169	19068.24443
170	19046.27828
171	18936.31338
172	18885.54425
173	18809.44161
174	18792.42615
175	18782.78251
176	18715.72468
177	18706.4137
178	18618.6963
179	18524.19665
180	18476.56982
181	18467.54486
182	18391.32045
183	18338.71199
184	18271.30707
185	18201.00331
186	18123.40402
187	18080.8548
188	18013.50721
189	17965.77626
190	17934.4851
191	17875.46557
192	17808.73302
193	17743.15224
194	17684.7994
195	17611.03875
196	17553.6445
197	17507.44282
198	17456.70666
199	17383.77206
200	17370.05232
201	17339.50127
202	17294.73573
203	17258.06305
204	17218.00776
205	17160.77873
206	17110.14848
207	17061.67506
208	17044.06252
