iter	Passed	Remaining
0	1	645
1	2	549
2	4	588
3	5	576
4	6	564
5	7	568
6	9	565
7	10	566
8	12	580
9	13	569
10	14	580
11	16	576
12	17	575
13	18	570
14	19	567
15	21	561
16	23	577
17	23	565
18	24	557
19	26	550
20	26	541
21	28	544
22	30	552
23	32	566
24	33	559
25	34	556
26	35	550
27	36	544
28	38	543
29	39	537
30	39	531
31	41	526
32	42	527
33	43	525
34	44	524
35	46	529
36	47	525
37	49	523
38	50	520
39	51	515
40	51	509
41	53	510
42	54	508
43	55	505
44	57	505
45	58	505
46	61	520
47	65	538
48	67	539
49	69	544
50	70	541
51	71	538
52	72	536
53	73	532
54	74	528
55	76	525
56	77	523
57	78	522
58	79	520
59	81	518
60	82	515
61	83	514
62	85	512
63	86	510
64	87	507
65	88	505
66	90	506
67	92	508
68	93	506
69	95	506
70	97	508
71	98	505
72	100	510
73	102	513
74	105	515
75	108	524
76	110	524
77	111	523
78	113	522
79	115	526
80	117	523
81	118	520
82	119	517
83	121	517
84	123	520
85	125	519
86	127	521
87	128	519
88	130	518
89	131	515
90	132	512
91	133	510
92	135	508
93	136	506
94	137	503
95	138	502
96	140	500
97	141	499
98	143	497
99	144	496
100	146	495
101	147	493
102	148	491
103	149	488
104	151	488
105	153	487
106	154	486
107	156	486
108	158	486
109	161	488
110	162	487
111	164	486
112	165	484
113	167	482
114	168	481
115	169	479
116	171	477
117	172	475
118	174	473
119	175	472
120	177	471
121	181	476
122	183	478
123	187	482
124	188	480
125	190	478
126	192	478
127	194	478
128	198	483
129	200	483
130	202	482
131	203	480
132	205	479
133	207	479
134	209	477
135	210	475
136	212	474
137	213	472
138	215	471
139	216	469
140	218	467
141	219	465
142	221	464
143	223	464
144	226	466
145	228	465
146	231	466
147	233	464
148	235	463
149	236	461
150	239	462
151	240	460
152	242	459
153	244	458
154	246	457
155	247	455
156	251	458
157	257	463
158	259	464
159	262	464
160	267	469
161	271	470
162	272	468
163	275	468
164	278	468
165	281	470
166	283	468
167	284	465
168	289	469
169	297	477
170	299	476
171	300	473
172	303	474
173	308	476
174	310	474
175	311	472
176	312	469
177	313	466
178	314	464
179	316	462
180	317	459
181	318	456
182	319	454
183	320	451
184	322	449
185	324	447
186	325	445
187	326	442
188	327	440
189	328	437
190	329	434
191	330	432
192	331	429
193	333	427
194	335	427
195	337	425
196	341	426
197	342	424
198	344	422
199	345	420
200	347	417
201	348	416
202	350	413
203	353	414
204	356	414
205	358	412
206	359	410
207	361	407
208	362	405
209	363	403
210	365	401
211	366	398
212	367	396
213	369	395
214	371	394
215	374	393
216	375	391
217	376	388
218	378	387
219	383	388
220	390	391
221	398	396
222	439	433
223	442	432
224	445	431
225	446	428
226	450	428
227	453	427
228	455	425
229	457	423
230	458	421
231	461	420
232	469	422
233	472	422
234	475	420
235	477	418
236	479	416
237	481	414
238	485	414
239	487	412
240	489	409
241	490	407
242	491	404
243	494	403
244	497	402
245	501	401
246	504	400
247	505	397
248	506	394
249	507	391
250	508	388
251	509	386
252	511	383
253	512	381
254	513	378
255	515	376
256	516	373
257	517	371
258	518	368
259	520	366
260	521	363
261	523	361
262	525	359
263	528	358
264	530	356
265	532	354
266	534	352
267	535	349
268	536	347
269	538	345
270	540	342
271	541	340
272	543	338
273	544	335
274	545	333
275	547	331
276	548	328
277	550	326
278	551	323
279	552	321
280	554	319
281	555	317
282	556	314
283	559	313
284	563	312
285	564	310
286	565	307
287	568	306
288	570	304
289	572	302
290	575	300
291	579	299
292	581	297
293	583	295
294	585	293
295	586	291
296	587	288
297	588	286
298	590	284
299	592	282
300	594	280
301	595	278
302	598	276
303	607	277
304	614	278
305	622	278
306	626	277
307	631	276
308	639	277
309	642	275
310	645	273
311	653	274
312	663	275
313	666	273
314	667	271
315	669	269
316	672	267
317	676	265
318	679	264
319	682	262
320	684	260
321	687	258
322	688	255
323	691	253
324	692	251
325	694	249
326	696	246
327	697	244
328	698	242
329	699	239
330	700	237
331	703	235
332	705	232
333	707	230
334	709	228
335	711	226
336	713	224
337	714	221
338	715	219
339	717	217
340	718	215
341	720	212
342	721	210
343	723	208
344	725	206
345	726	203
346	728	201
347	729	199
348	730	196
349	731	194
350	733	192
351	735	190
352	736	187
353	738	185
354	739	183
355	741	181
356	742	178
357	744	176
358	745	174
359	746	172
360	749	170
361	752	168
362	755	166
363	757	164
364	759	162
365	760	160
366	762	157
367	765	156
368	766	153
369	768	151
370	770	149
371	771	147
372	776	145
373	780	143
374	784	142
375	789	140
376	791	138
377	792	136
378	793	134
379	796	132
380	798	129
381	800	127
382	802	125
383	804	123
384	805	121
385	808	119
386	810	117
387	812	115
388	814	113
389	817	111
390	818	108
391	820	106
392	821	104
393	822	102
394	823	100
395	824	97
396	825	95
397	827	93
398	828	91
399	831	89
400	834	87
401	835	85
402	836	83
403	837	80
404	838	78
405	839	76
406	842	74
407	844	72
408	846	70
409	848	68
410	850	66
411	852	64
412	854	62
413	855	59
414	857	57
415	858	55
416	859	53
417	861	51
418	862	49
419	863	47
420	864	45
421	865	43
422	866	40
423	867	38
424	868	36
425	869	34
426	871	32
427	873	30
428	875	28
429	876	26
430	879	24
431	881	22
432	883	20
433	884	18
434	884	16
435	885	14
436	887	12
437	889	10
438	890	8
439	891	6
440	893	4
441	894	2
442	895	0
